Code,Name,
70479,ANDREW INGREDIENTS,
71358,BLENDI SNACKS,
71368,BALLYHENRY ORGANIC FARM,
71573,GREAT NORTHERN LARDER,
71753,250KAL FOOD LTD T/A PURE CAKES,
72497,REFUGE HOT CHOCOLATE,
72664,STUART MORRIS TEXTILES,
72842,SPROUT FARM LTD,
73058,SOLERA WINE MERCHANTS LTD,
73109,D2R DISTRIBUTION LTD,
73164,STUDIO COFFEE ROASTERS,
73354,BALLYHUBBOCK FARM,
73361,GENOVESE FOODS,
73744,P LAVIN & SONS LTD,
73811,MARTRY MILL,
74092,THRIVE FARM LTD,
74344,CRAIC FOODS LTD,
74785,WE LOVE CUSHIONS,
75352,SPICE OF LIFE LTD,
75854,OLMAR LTD T/A PURE INGREDIENTS,
75924,MICHAEL BURKE,
75926,STEPHEN PRATT (RESCUE GLASS),
75933,INKSPOT,
75974,IRISH DISTILLERS LTD,
78855,DK COMPANY VEJLE A/S,
79179,EARTH GROWN FOODS T/A PLANT IT,
79247,GARRYHINCH WOOD EXOTIC LTD,
79326,LA BOUGIE,
79380,HOT CHIP BAKERY LTD,
79389,DUKE MARKETING LTD,
79458,MUSGRAVES RETAIL (HAPPY PEAR),
79760,MELTDOWN MASSIVE LIMITED,
79964,STEWART FOIL LTD,
7AM001,7 A.M ENFANT,
7DA001,7DAYS DISTRIBUTION/PILLADIO,
80042,SCOOT AND RIDE,
80269,HOGENDOORN BV,
80427,KYLEMORE FARMHOUSE CHEESE,
80428,NEARYNOGS STONEGROUND CHOCOLAT,
80498,ENAMEL COPENHAGEN,
80507,PITMAN AGENCIES LTD,
80563,JUST A LITTLE GIRL,
80572,GENTLEMEN'S HARDWARE LTD,
80617,MARSTON BOOK SERVICES,
80618,WAFER ENTERPRISES LTD,
80825,DUBLIN OAT DRINKS LTD,
80949,BEAUTY RESULTS LTD,
80968,INNER ISLAND,
81319,TOGA FREIGHT SERVICES LTD,
81570,KESTREL FOOD LTD. FOREST FEAST,
81572,LIL & IZZY LTD,
81700,BALLYLISK OF ARMAGH,
81783,FAWE,
82036,ANNA + NINA B.V.,
82177,TASTE JOY COMPANT LTD,
82178,HARVESTALK,
82230,TOM WHELAN,
82231,BADLY MADE BOOKS,
82400,HARRYS NUT BUTTER,
82402,NEW EDITION HOME BV,
82616,MALENA LTD,
82617,EAMONN TERRY T/A CRIOSTAL,
82618,DUSTY BOY LTD,
82649,SALTERS FREE RANGE FARM,
82691,BE HOME,
82724,Rader GmbH,
82754,WATER & WINES AB,
82854,GO DUTCH LABEL B.V,
82986,SAS NUSA DUA,
82998,ORIGINAL HOME COMPANY,
83000,LITTLE GREEN RADICALS,
83028,JILL & GILL APPAREL LTD,
83029,STAFFORD LYNCH,
83133,ROBERT MACKIE OF SCOTLAND LTD,
83163,VALENTIA ISLAND VERMOUTH,
83268,APOLLO HOUSEWARES IRELAND LTD,
83278,BOW FRANCE (LEXON),
83323,CHATHAM ROSE (THE GOOD GLOW),
83477,PEACHYLEAN LTD,
83519,PAPO LA MAISON DES FIGURINE EU,
83560,PINK STORIES E.K,
83597,MARKBERG APS,
83680,EMU AUSTRALIA (EUROPE) LTD,
83715,LE PARFUMEUR SAS,
83831,BROUGHGAMMON FARM LTD,
83834,IRISH BISCUITS (NI) LIMITED,
84054,HARVERMILL LIMITED T/A PROGRO,
84094,CHARLIE LEONARD TURKEYS,
84095,LIAM BLAKE,
84486,VIRGINIA HEALTH FOOD LTD,
84715,THE NEST BOX EGG COMPANY LTD,
85246,HOLDEREIGHT TEXTILES LTD,
85262,SUGARLOAF BOTANICS,
85734,HANNON FINE FOODS,
85750,RAVENSBERG NURSERIES LTD,
85755,CASA GRANDE LTD,
85756,IRISH SCHOOL OF CHEESE,
86051,LE PAYSAN OF WICKLOW,
86069,LJC INTERNATIONAL,
86086,BROSTE COPENHAGEN,
86145,CLOVER HILL FOOD INGREDNTS LTD,
86153,ARCANE CHOCOLATE LTD,
86276,POWDER DESIGNS LTD,
86277,J BARBOUR AND SONS LTD,
88010,ADAG APS / AMERICANDREAMS,
88053,TOASTED CRUMPET DESIGN,
88054,ALBETTA INTERNATIONAL,
88076,THE SPANISH FOOD CO LTD,
88129,TRADITIONAL CRAFT LTD,
90911,INOUI EDITIONS,
91068,HERBS ON THYME,
91413,A JOURNAL,
91415,HORGANS DELI SUPPLIES LTD,
91430,TORC BREWING COMPANY LIMITED,
91431,MILKY PAWS LIMITED,
91432,RIVESCI LIMITED,
91433,BU�OCH IRISH CHOCOLATES,
91435,DAN� COFFEE COMPANY LTD.,
91439,FIKKERTS LIMITED,
91597,SAVAGE SAUCES,
91599,WEST OF DINGLE,
91600,CREATIVE LAB AMSTERDAM B.V.,
91848,BUILIN BLASTA TEO,
91934,ALPARGATAS,
91947,WEBER-STEPHEN PRODUCTS (UK),
91998,PEELO ACCESSORIES,
92002,COOLQUAY NURSERIES,
92004,JB FEE DESIGNS,
92008,EUREKA DISTRIBUTION,
92027,BELLROY TRADING PTY LIMITED,
92233,GREAT PRETENDERS EUROPE,
92235,SOLID STATE FOR MEN LTD,
92236,DRINK NO | LOW LTD,
92278,BRO38 LTD,
92386,REVIVE EXPRESS BEAUTY LTD,
92504,LURGAN FOODS LTD (BIASOL),
92971,OONI LIMITED,
93195,BL^NK,
93279,HOLLEYS FINE FOODS LTD,
93284,TOO SAVAGE LIMITED,
93285,PEPPUP LIMITED,
93466,UNIPHAR WHOLE SALE LIMITED,
93617,AOIFE LIFESTYLE,
93636,SCAFOS.COM APS,
93860,WOLFORD AG,
93965,VINTAGE HEIR LTD (THEIR NIBS),
93967,IRISH BLACK BUTTER LTD,
94038,TIDINGS,
94104,THE SCULLERY LTD,
94244,BOBBY PRODUCTS,
94262,ALONTIN SALES & MARKETING LTD,
94331,PROFESSOR PUZZLE,
94332,PENGUIN RANDOM HOUSE UK,
94333,ANGELA D'ARCY,
94365,L'OCCITANE IRELAND LTD,
94533,BLACKBOARD SRL,
94725,JURATOYS UK LTD,
94792,SOCK CO OP (UNFOLD STUDIO LTD),
94793,CHIVE INC LIMITED,
95%001,95% LTD,
95045,UPPER CANADA UK LTD,
95554,CONBINI CONDIMENTS LTD,
95555,MANLY STUFF LTD T/A DSC,
95585,MCDAIDS FOOTBALL SPECIAL,
95589,VIRGINIE CLAIRE PRODUCTS LTD,
95596,RNA TRANSPORT,
95743,LINE ARGENT S.L.,
96170,BRABANTIA INTERNATIONAL,
96172,CONNOLLY MEATS LTD,
96618,NOA NOA A/S,
96647,OPENHIVE HONEY LTD,
96651,PME CAKE ES SL,
97052,CAUDALIE,
97074,BROIGHTER GOLD RAPESEED OIL,
97121,MY DORIS LTD,
97136,AU MAISON EJA INTERNATIONAL AP,
97439,GRUN & FROM JORG CARIS GMBH,
97440,WERNER VOSS GMBH,
97469,SAS LUCY - FRNCH,
97497,F&H GROUP A/S,
98072,CARALE SCOOP PEQ (CONTABRICO),
98073,DWM PRESS LTD. (FOLK & NEST),
98843,PLAYMOBIL (UK) LTD,
98855,BON DEP,
98856,PURE OSKAR,
99055,COR MULDER GMBH,
99056,GEORGES FISH KITCHEN,
99267,GARDENZONE LIMITED,
99618,TIRLAN LTD (GLANBIA),
99631,AMBER COLLEGE LTD BETTERPLANTS,
99962,ROSALEENS KITCHEN LTD,
99999,GLOBAL FOOD & BEVERAGE SPECIAL,
A&D001,A&D HOME FASHION,
A&K001,A & K REAL FOOD,
A+A001,ADEN + ANAIS,
AAD001,AUX ANYSETIERS DU ROY,
AAF001,AA FARMER,
AAL001,AVOLON AIRSPACE,
AAM001,ATLANTIC AROMATICS,
AAR001,AARGEE NOVELTIES,
AAR002,AARUP HALMVARE A/S,
AAR003,AARDVARK PUBLISHING,
AB,AVOCA BUTCHER TEST,
ABA001,ABACO PARIS,
ABB001,ABBEY CHEESE COMPANY,
ABB002,ABBEYLANDS(SCATTERBOX),
ABB003,ABERNETHY BUTTER,
ABB004,ABERNETHY BUTTER,
ABB007,ABBEY CRAFTS,
ABB008,ABBIE & ROSE (BMC ROSE SPRL),
ABB038,ABBEY CERAMICS,
ABF001,ABOUT FACE,
ABK001,ABAKUS FOODS,
ABL001,ANNABEL LANGRISH,
ABN001,ABYS NATURAL FOOD,
ABO001,ABOUT ACCESSORIES,
ABR001,ABRACARDABRA,
ABS001,ABSOLUTELY DIVINE LTD,
ABS002,DILLON ORGANICS,
ABS003,ABSOLUTE BOARD CO,
ABS043,ABS POTTERY IMPORTS,
ABS044,ABS POTTERY (DO NOT USE),
ACA001,ACADIAN MAPLE,
ACA002,ACAPPELLA AGENCY - CULTURE,
ACH001,ACH BRITO - CLAUS PORTO,
ACK001,ACKERMAN,
ACL001,ACHILL ISLAND SEA SALT,
ACO001,ACONSUR,
ACP001,ACP,
ACS001,ALGERIAN COFFEE SUPPLIES LTD,
ACX001,AMANDA COX (JY),
A-D001,A-DAM UNDERWEAR B.V.,
AD002,ADAMS MEDIA,
ADA001,ADAX,
ADA002,ADAMS PRINTING PRESS,
ADA003,ADA ROSE,
ADA004,ADAMS CLOUD LTD,
ADD001,ADD MIKKELSEN A/S,
